serial,brand,movement,case_material,bracelet_material,gender,shape,crystal,dial,bracelet_color,clasp,year
12,Zeppelin,Quartz,steel,Leather,Men's watch/Unisex,Circular,Mineral Glass,Grey,Brown,Buckle,2024-01-01
14,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,Rectangular,Sapphire crystal,Grey,Black,Buckle,2024-01-01
17,Vostok,Automatic,steel,Steel,Men's watch/Unisex,Rectangular,Glass,White,Steel,Fold clasp,2024-01-01
18,Ingersoll,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Mineral Glass,Gold,Black,Buckle,2024-01-01
19,Omega,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2024-01-01
23,Formex,Automatic,Carbon,Textile,Men's watch/Unisex,Rectangular,Sapphire crystal,Blue,Black,Buckle,2024-01-01
27,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,Rectangular,Sapphire crystal,Blue,Blue,Double-fold clasp,2000-01-01
30,Tudor,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Fold clasp,2024-01-01
31,Glashütte Original,Automatic,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Silver,Fold clasp,2024-01-01
39,Oris,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Silver,Buckle,2024-01-01
43,Norqain,Automatic,steel,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Black,Brown,Buckle,2024-01-01
48,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,White,Black,Buckle,2024-01-01
54,Venezianico,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Green,Steel,Buckle,2024-01-01
60,Zeppelin,Automatic,steel,Leather,Men's watch/Unisex,Circular,Mineral Glass,Champagne,Brown,Buckle,2024-01-01
64,Traser,Quartz,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2024-01-01
67,Romain Jerome,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Brown,Black,Fold clasp,2023-01-01
70,Maserati,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Green,Silver,Fold clasp,2024-01-01
81,Breguet,Automatic,gold,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Blue,Buckle,2024-01-01
91,Zeno-Watch Basel,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2020-01-01
96,Doxa,Automatic,steel,Rubber,Men's watch/Unisex,Rectangular,Sapphire crystal,White,White,"Fold clasp, hidden",2024-01-01
99,Hanhart,Manual winding,steel,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Black,Steel,Fold clasp,2024-01-01
115,Bulgari,Automatic,gold,Leather,Women's watch,Circular,Sapphire crystal,Gold,Brown,Buckle,2024-01-01
116,Swatch,Automatic,Plastic,Textile,Men's watch/Unisex,Circular,Mineral Glass,Black,Black,Buckle,2023-01-01
