serial,brand,gender,price,total_sale,seller_reviews,year,volume
12,Zeppelin,Men's watch/Unisex,22192.5,2328.0,1742.0,2024-01-01,Medium Sale
14,Formex,Men's watch/Unisex,164917.5,1072.0,940.0,2024-01-01,Medium Sale
17,Vostok,Men's watch/Unisex,11467.5,804.0,551.0,2024-01-01,Medium Sale
18,Ingersoll,Men's watch/Unisex,28957.5,14626.0,7424.0,2024-01-01,High Sale
19,Omega,Men's watch/Unisex,412500.0,254.0,128.0,2024-01-01,Low Sale
23,Formex,Men's watch/Unisex,147097.5,1072.0,940.0,2024-01-01,Medium Sale
27,Mühle Glashütte,Men's watch/Unisex,311932.5,14642.0,448.0,2000-01-01,High Sale
30,Tudor,Men's watch/Unisex,264000.0,414.0,263.0,2024-01-01,Low Sale
31,Glashütte Original,Men's watch/Unisex,977625.0,1281.0,798.0,2024-01-01,Medium Sale
39,Oris,Men's watch/Unisex,177375.0,3087.0,2339.0,2024-01-01,High Sale
43,Norqain,Men's watch/Unisex,312675.0,1420.0,876.0,2024-01-01,Medium Sale
48,NOMOS,Men's watch/Unisex,114097.5,722.0,548.0,2024-01-01,Medium Sale
54,Venezianico,Men's watch/Unisex,50325.0,816.0,670.0,2024-01-01,Medium Sale
60,Zeppelin,Men's watch/Unisex,44467.5,2328.0,1742.0,2024-01-01,Medium Sale
64,Traser,Men's watch/Unisex,49005.0,1473.0,1088.0,2024-01-01,Medium Sale
67,Romain Jerome,Men's watch/Unisex,465547.5,549.0,480.0,2023-01-01,Low Sale
70,Maserati,Men's watch/Unisex,20460.0,14626.0,7424.0,2024-01-01,High Sale
81,Breguet,Men's watch/Unisex,2887500.0,1604.0,1147.0,2024-01-01,Medium Sale
91,Zeno-Watch Basel,Men's watch/Unisex,132165.0,2028.0,1396.0,2020-01-01,Medium Sale
96,Doxa,Men's watch/Unisex,138187.5,357.0,311.0,2024-01-01,Low Sale
99,Hanhart,Men's watch/Unisex,192555.0,1072.0,940.0,2024-01-01,Medium Sale
115,Bulgari,Women's watch,2227500.0,265.0,195.0,2024-01-01,Low Sale
116,Swatch,Men's watch/Unisex,53625.0,288.0,149.0,2023-01-01,Low Sale
118,Zeno-Watch Basel,Men's watch/Unisex,208725.0,579.0,359.0,2024-01-01,Low Sale
119,Venezianico,Men's watch/Unisex,106425.0,14642.0,448.0,2023-01-01,High Sale
120,Glycine,Men's watch/Unisex,123750.0,1461.0,1007.0,2024-01-01,Medium Sale
122,Nivada,Men's watch/Unisex,82912.5,3108.0,2199.0,2024-01-01,High Sale
123,Junghans,Men's watch/Unisex,25822.5,722.0,548.0,1960-01-01,Medium Sale
124,Zeppelin,Men's watch/Unisex,173745.0,399.0,291.0,2024-01-01,Low Sale
126,Grand Seiko,Men's watch/Unisex,495000.0,627.0,461.0,2024-01-01,Low Sale
128,TW Steel,Men's watch/Unisex,17737.5,14626.0,7424.0,2024-01-01,High Sale
145,Mühle Glashütte,Men's watch/Unisex,276292.5,4181.0,2862.0,2024-01-01,High Sale
146,Gucci,Women's watch,24337.5,1390.0,860.0,1993-01-01,Medium Sale
